Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_stlman,"The letters ""m"" and ""n"" change the sound of the vowel ""a"".","Буквы ""m"" и ""n"" меняют звук гласного ""a"".","Die Buchstaben ""m"" und ""n"" ändern den Klang des Vokal ""a"".","Las letras ""m"" y ""n"" cambian el sonido de la vocal ""a"".","Les lettres ""m"" et ""n"" changent le son de la voyelle ""a"".","الحرفين ""m"" و ""n"" يغيران صوت حرف العلة ""a"".","字母 ""m"" 和 ""n"" 改变元音 ""a"" 的声音。","Harfler ""m"" ve ""n"" sesli ""a"" sesini değiştirir.","As letras ""m"" e ""n"" alteram o som da vogal ""a"".",,,
_stlsmo1,"The letters ""sh"" make one sound, and the letter ""r"" makes a second sound.","Буквы ""sh"" делают один звук, а буква ""r""-второй звук.","Die Buchstaben ""sh"" machen einen Klang, und der Buchstabe ""r"" macht einen zweiten Klang.","Las letras ""sh"" hacen un sonido, y la letra ""r"" hace un segundo sonido.","Les lettres ""SH"" font un son, et la lettre ""r"" fait un second son.","الحروف ""sh"" جعل صوت واحد ، والحرف ""r"" يجعل الصوت الثاني.","字母 ""sh"" 发出一个声音, 字母 ""r"" 发出第二个声音。","""sh"" harfleri bir ses ve ""r"" harfi ikinci bir ses yapar.","As letras ""sh"" fazem um som, e a letra ""r"" faz um segundo som.",,,
_stlt,"The letters ""t"" (and ""p"" are consonants.)","Буквы ""t"" (и ""p"" являются согласными).","Die Buchstaben ""t"" (und ""p"" sind Konsonanten.)","Las letras ""t"" (y ""p"" son consonantes.)","Les lettres ""t"" (et ""p"" sont des consonnes.)","الحرفين ""t"" (و ""p"") هما ساكنان.","字母 ""t"" (和 ""p"" 是辅音。","Harfler ""t"" (ve ""p"" ünsüzler vardır.)","As letras ""t"" (e ""p"" são consoantes.)",,,
_stltmo,"the letters ""th"" make one sound, and the letter ""r"" makes a second sound.","буквы «TH» делают один звук, а буква «r» — второй звук.","die Buchstaben ""th"" machen einen Klang, und der Buchstabe ""r"" macht einen zweiten Klang.","las letras ""TH"" hacen un sonido, y la letra ""r"" hace un segundo sonido.","les lettres ""th"" font un son, et la lettre ""r"" fait un second son.","الحروف ""ال"" جعل صوت واحد ، والحرف ""r"" يجعل الصوت الثاني.","字母 ""th"" 发出一个声音, 字母 ""r"" 发出第二个声音。",""""" harfi bir ses ve ""r"" harfini ikinci bir ses yapar.","as letras ""th"" fazem um som, e a letra ""r"" faz um segundo som.",,,
_stla,The letters are...,Буквы...,Die Briefe sind ...,Las letras son ...,Les lettres sont ...,الرسائل هي...,字母是..。,Harfler...,As letras são...,,,
_stla1,"The letters are...(""SkillLetter"")","Буквы... (""скилллеттер"")","Die Briefe sind ... (""SkillLetter"")","Las letras son ... (""SkillLetter"")","Les lettres sont ... (""SkillLetter"")","الرسائل هي... (""حرف المهارة"")","字母是..。(""SkillLetter"")","Harfler... (""SkillLetter"")","As letras são... (""SkillLetter"")",,,
_stlitba,The letters in the blend are...,Буквы в переходе...,Die Buchstaben in der Blende sind ...,Las letras en la mezcla son ...,Les lettres dans le mélange sont ...,الحروف في مزيج...,混合的字母是..。,Karışımdaki harfler...,As letras da mistura são...,,,
_stlitb,The letters in the blend or digraph must stay together.,Буквы в Blend или расграфе должны оставаться вместе.,Die Buchstaben im Blend oder Digraph müssen zusammen bleiben.,Las letras en la mezcla o el digrama deben permanecer juntos.,Les lettres du mélange ou du Digraphe doivent rester ensemble.,يجب ان تبقي الأحرف التي في الخليط أو الرسم البياني معا.,混合或有向图中的字母必须保持在一起。,Karışımdaki harfler veya digraph birlikte kalmak zorundadır.,As letras da mistura ou do digrafo devem permanecer juntas.,,,
_stlitvt,"The letters in the vowel team are...(""SkillLetter"")","Буквы в группе гласных... (""скилллеттер"")","Die Buchstaben des Vokal-Teams sind ... (""SkillLetter"")","Las letras en el equipo vocal son ... (""SkillLetter"")","Les lettres de l'équipe de voyelles sont ... (""SkillLetter"")","الحروف في الفريق حرف العلة... (""حرف المهارة"")","元音组的字母是..。(""SkillLetter"")","Harflerle ünlü takım... (""SkillLetter"")","As letras da equipe vogal são... (""SkillLetter"")",,,
_stlitw,"The letters in this word family are (""SkillLetter"").","Буквы этого слова в семействе (""скилллеттер"").","Die Buchstaben in dieser Wort-Familie sind (""SkillLetter"").","Las letras en esta familia de la palabra son (""SkillLetter"").","Les lettres dans ce mot famille sont (""SkillLetter"").","الحروف في هذا كلمه أسره (""[سكسرس]"").","这个词家庭的信件是 (""SkillLetter"")。","Bu kelime ailesindeki harfler (""SkillLetter"").","As letras nesta família da palavra são (""SkillLetter"").",,,
_stlotda,The letters of the digraph (two letters making one sound) are...,"Буквы этого расграфа (два буквы, которые делают один звук)...","Die Buchstaben des Digraphen (zwei Buchstaben, die einen Ton bilden) sind ...",Las letras de la digrafía (dos letras que hacen un sonido) son ...,Les lettres du Digraphe (deux lettres faisant un son) sont ...,الحروف من [ديغراف] (اثنان حروف يجعل صوت واحده)...,有向图的字母 (两个字母发出一个声音) 是..。,Digraph (iki harf bir ses yapma) harflerdir...,As letras do digrafo (duas letras que fazem um som) são...,,,
_stlotd,"The letters of the digraph are...(""SkillLetters"")","Буквы этого расграфа... (""скилллеттерс"")","Die Buchstaben des Digraphen sind ... (""SkillLetters"")","Las letras del digrama son ... (""SkillLetters"")","Les lettres du Digraphe sont ... (""SkillLetters"")","الحروف من [ديغراف]... (""المهارات"")","有向图的字母是..。(""SkillLetters"")","Digraph harfleri... (""SkillLetters"")","As letras do digrafo são... (""SkillLetters"")",,,
_stlotsa,"The letters of the suffix are...(""SkillLetter"")","Буквы суффикса... (""скилллеттер"")","Die Buchstaben des Suffixes sind ... (""SkillLetter"")","Las letras del sufijo son ... (""SkillLetter"")","Les lettres du suffixe sont ... (""SkillLetter"")","رسائل اللاحقة هي... (""حرف المهارة"")","后缀的字母是..。(""SkillLetter"")","Sonekin harfleri... (""SkillLetter"")","As letras do sufixo são... (""SkillLetter"")",,,
_stlotw,"The letters of the word family are...(""SkillLetter"")","Буквы слова ""семейство""... (""скилллеттер"")","Die Buchstaben der Wort-Familie sind ... (""SkillLetter"")","Las letras de la familia de la palabra son ... (""SkillLetter"")","Les lettres de la famille de mot sont ... (""SkillLetter"")","رسائل الاسره كلمه... (""حرف المهارة"")","这个词家庭的字母是..。(""SkillLetter"")","Kelime ailesinin mektupları... (""SkillLetter"")","As letras da palavra família são... (""SkillLetter"")",,,
_stltah,The letters that are highlighted need to be entered again.,Выделенные буквы должны быть введены снова.,Die hervorgehobenen Buchstaben müssen erneut eingegeben werden.,"Las letras que están resaltadas necesitan ""ser"" ingresadas de nuevo.",Les lettres en surbrillance doivent être retapées.,"الأحرف التي يتم إبرازها تحتاج إلى ""يتم"" إدخالها مره أخرى.",突出显示的字母需要再次输入。,Vurgulanan harfler tekrar girilmesi gerekir.,"As letras que são realçadas precisam ""ser"" inseridas novamente.",,,
_stltlfa,"The letters to look for are...(""SkillLetter"")","Искать... (""скилллеттер"")","Die Briefe zu suchen sind ... (""SkillLetter"")","Las letras a buscar son ... (""SkillLetter"")","Les lettres à rechercher sont ... (""SkillLetter"")","رسائل للبحث عن... (""حرف المهارة"")","要查找的字母是..。(""SkillLetter"")","Harfleri aramak için... (""SkillLetter"")","As cartas para procurar são... (""SkillLetter"")",,,
_stlvsa,The long vowel sounds are:,Длинные гласные звуки:,Die langen Vokale lauten:,Los sonidos largos de la vocal son:,Les longs sons de voyelle sont:,أصوات أحرف العلة الطويلة هي:,长元音音是:,Uzun sesli sesler şunlardır:,Os sons de vogais longos são:,,,
_stmlit,The missing letter in this digraph is...,Недостающее письмо в этом расграфе...,Der fehlende Buchstabe in dieser Digraph ist ...,La carta que falta en este digrama es ...,La lettre manquante dans ce digramme est ...,الحرف المفقود في هذا الرسم البياني هو...,此有向图中缺少的字母是..。,Bu digraph eksik mektup...,A carta que falta neste digrafo é...,,,
_stmlot,The missing letters of the digraph are...,Недостающие буквы этого графа...,Die fehlenden Buchstaben des Digraphen sind ...,Las letras que faltan del digrama son ...,Les lettres manquantes du Digraphe sont ...,الرسائل المفقودة من الديغراف هي...,有向图的缺失字母是..。,Digraph eksik harfler vardır...,As letras perdidas do digrafo são...,,,
_stndyw,The next digraph you will work with is...,"Следующая расграфа, с которой вы будете работать, это...","Das nächste Digraph, mit dem Sie arbeiten wird ...",El siguiente digrama con el que trabajarás es ...,"Le Digraphe suivant, vous allez travailler avec est ...",الرسم البياني التالي سوف تعمل مع هو...,您将使用的下一个有向图是..。,Bir sonraki digraph ile çalışacaktır...,O próximo digrafo que você vai trabalhar com é...,,,
_stnsbw,The next syllable begins with a vowel.,Следующий слог начинается с гласной.,Die nächste Silbe beginnt mit einem Vokal.,La siguiente sílaba comienza con una vocal.,La syllabe suivante commence par une voyelle.,المقطع التالي يبدا مع حرف العلة.,下一个音节以元音开头。,Bir sonraki hece sesli harflerle başlar.,A próxima sílaba começa com uma vogal.,,,
_stntsa,The next two sounds are also unusual.,Следующие два звука также являются необычными.,Die nächsten zwei Töne sind auch ungewöhnlich.,Los siguientes dos sonidos también son inusuales.,Les deux sons suivants sont aussi inhabituels.,الأصوات التاليتين غير عادية أيضا.,接下来的两个声音也不寻常。,Sonraki iki ses de alışılmadık.,Os próximos dois sons também são incomuns.,,,
_stnoli1,The number of letters is...(number),Количество букв... число),Die Anzahl der Buchstaben ist ... Anzahl),El número de letras es ... número),Le nombre de lettres est ... nombre),عدد الرسائل... عدد),字母的数量是..。数量),Harf sayısı... sayısı),O número de letras é... número),,,
_stnosi,The number of sounds is (number).,Число звуков (число).,Die Anzahl der Sounds ist (Number).,El número de sonidos es (número).,Le nombre de sons est (nombre).,عدد الأصوات هو (رقم).,声音的数量是 (数字)。,Seslerin sayısı (sayı).,O número de sons é (número).,,,
_stnosi1,The number of syllables in this word is:,Число слогов в этом слове:,Die Anzahl der Silben in diesem Wort lautet:,El número de sílabas en esta palabra es:,Le nombre de syllabes dans ce mot est:,عدد المقاطع في هذه الكلمة هو:,这个词的音节数是:,Bu kelimedeki hece sayısı:,O número de sílabas nesta palavra é:,,,
_stheon,"The one syllable words can be closed syllables or ""vce"" pattern words.","Одна слоговая фраза может быть ""быть"" закрытыми слогами или ""ВЦЕ"".","Die Worte der Silbe können ""sein"" geschlossene Silben oder ""VCE"" Muster Worte.","Las palabras de una sílaba pueden ""ser"" sílabas cerradas o ""VCE"" palabras del patrón.",Les mots d'une syllabe peuvent «être» des syllabes fermées ou des mots de modèle «VCE».,"يمكن للكلمات مقطع واحد ""ان تكون"" المقاطع المغلقة أو ""العبارات النمطية"" نمط الكلمات.","一个音节词可以 ""是"" 闭合的音节或 ""vce"" 模式词。","Bir hece kelime ""olabilir"" kapalı hece veya ""VCE"" desen kelime.","As palavras de uma sílaba podem ""ser"" sílabas fechadas ou ""VCE"" palavras padrão.",,,
_stoswc,"The one syllable words can be closed syllables or ""vce"" syllables.","Одно слоговые слова могут ""быть"" закрытыми слогами или ""ВЦЕ"" слогами.","Die Worte der Silbe können geschlossene Silben oder ""VCE"" Silben sein.","Las palabras de una sílaba pueden ""ser"" sílabas cerradas o ""VCE"" sílabas.",Les mots d'une syllabe peuvent «être» des syllabes fermées ou des syllabes «VCE».,"يمكن للكلمات مقطع واحد ""ان"" المقاطع المغلقة أو ""المقطع اللفظي"" المقاطع.","一个音节词可以 ""是"" 闭合的音节或 ""vce"" 音节。","Hece kelimeleri ""olabilir"" hece veya ""VCE"" hece.","As palavras de uma sílaba podem ""ser"" sílabas fechadas ou ""VCE"" sílabas.",,,
